UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 15:03 ?        00:00:02 /sbin/init splash
root           2       0  0 15:03 ?        00:00:00 [kthreadd]
root           3       2  0 15:03 ?        00:00:00 [rcu_gp]
root           4       2  0 15:03 ?        00:00:00 [rcu_par_gp]
root           5       2  0 15:03 ?        00:00:00 [slub_flushwq]
root           6       2  0 15:03 ?        00:00:00 [netns]
root           8       2  0 15:03 ?        00:00:00 [kworker/0:0H-kblockd]
root          11       2  0 15:03 ?        00:00:00 [mm_percpu_wq]
root          12       2  0 15:03 ?        00:00:00 [rcu_tasks_kthread]
root          13       2  0 15:03 ?        00:00:00 [rcu_tasks_rude_kthread]
root          14       2  0 15:03 ?        00:00:00 [rcu_tasks_trace_kthread]
root          15       2  0 15:03 ?        00:00:00 [ksoftirqd/0]
root          16       2  0 15:03 ?        00:00:01 [rcu_preempt]
root          17       2  0 15:03 ?        00:00:00 [migration/0]
root          18       2  0 15:03 ?        00:00:00 [idle_inject/0]
root          19       2  0 15:03 ?        00:00:00 [cpuhp/0]
root          20       2  0 15:03 ?        00:00:00 [cpuhp/1]
root          21       2  0 15:03 ?        00:00:00 [idle_inject/1]
root          22       2  0 15:03 ?        00:00:00 [migration/1]
root          23       2  0 15:03 ?        00:00:00 [ksoftirqd/1]
root          25       2  0 15:03 ?        00:00:00 [kworker/1:0H-kblockd]
root          26       2  0 15:03 ?        00:00:00 [cpuhp/2]
root          27       2  0 15:03 ?        00:00:00 [idle_inject/2]
root          28       2  0 15:03 ?        00:00:00 [migration/2]
root          29       2  0 15:03 ?        00:00:00 [ksoftirqd/2]
root          30       2  0 15:03 ?        00:00:00 [kworker/2:0-mm_percpu_wq]
root          31       2  0 15:03 ?        00:00:00 [kworker/2:0H-events_highpri]
root          32       2  0 15:03 ?        00:00:00 [cpuhp/3]
root          33       2  0 15:03 ?        00:00:00 [idle_inject/3]
root          34       2  0 15:03 ?        00:00:00 [migration/3]
root          35       2  0 15:03 ?        00:00:00 [ksoftirqd/3]
root          36       2  0 15:03 ?        00:00:00 [kworker/3:0-events]
root          38       2  0 15:03 ?        00:00:00 [kdevtmpfs]
root          39       2  0 15:03 ?        00:00:00 [inet_frag_wq]
root          41       2  0 15:03 ?        00:00:00 [kauditd]
root          42       2  0 15:03 ?        00:00:00 [khungtaskd]
root          43       2  0 15:03 ?        00:00:00 [oom_reaper]
root          45       2  0 15:03 ?        00:00:00 [writeback]
root          46       2  0 15:03 ?        00:00:00 [kcompactd0]
root          47       2  0 15:03 ?        00:00:00 [ksmd]
root          48       2  0 15:03 ?        00:00:00 [khugepaged]
root          49       2  0 15:03 ?        00:00:00 [kintegrityd]
root          50       2  0 15:03 ?        00:00:00 [kblockd]
root          51       2  0 15:03 ?        00:00:00 [blkcg_punt_bio]
root          52       2  0 15:03 ?        00:00:00 [tpm_dev_wq]
root          53       2  0 15:03 ?        00:00:00 [ata_sff]
root          54       2  0 15:03 ?        00:00:00 [md]
root          55       2  0 15:03 ?        00:00:00 [md_bitmap]
root          56       2  0 15:03 ?        00:00:00 [edac-poller]
root          57       2  0 15:03 ?        00:00:00 [devfreq_wq]
root          58       2  0 15:03 ?        00:00:00 [watchdogd]
root          61       2  0 15:03 ?        00:00:00 [kswapd0]
root          62       2  0 15:03 ?        00:00:00 [ecryptfs-kthread]
root          63       2  0 15:03 ?        00:00:00 [kthrotld]
root          64       2  0 15:03 ?        00:00:00 [acpi_thermal_pm]
root          65       2  0 15:03 ?        00:00:00 [scsi_eh_0]
root          66       2  0 15:03 ?        00:00:00 [scsi_tmf_0]
root          67       2  0 15:03 ?        00:00:00 [scsi_eh_1]
root          68       2  0 15:03 ?        00:00:00 [scsi_tmf_1]
root          70       2  0 15:03 ?        00:00:03 [kworker/u8:4-events_power_efficient]
root          73       2  0 15:03 ?        00:00:00 [mld]
root          74       2  0 15:03 ?        00:00:00 [ipv6_addrconf]
root          76       2  0 15:03 ?        00:00:00 [kworker/3:1H-kblockd]
root          77       2  0 15:03 ?        00:00:04 [kworker/1:2-cgroup_destroy]
root          79       2  0 15:03 ?        00:00:00 [kworker/1:1H-kblockd]
root          84       2  0 15:03 ?        00:00:00 [kstrp]
root          87       2  0 15:03 ?        00:00:00 [kworker/u9:0]
root          91       2  0 15:03 ?        00:00:00 [charger_manager]
root         110       2  0 15:03 ?        00:00:00 [kworker/2:1H-kblockd]
root         141       2  0 15:03 ?        00:00:00 [scsi_eh_2]
root         142       2  0 15:03 ?        00:00:00 [scsi_tmf_2]
root         165       2  0 15:03 ?        00:00:01 [jbd2/sda3-8]
root         166       2  0 15:03 ?        00:00:00 [ext4-rsv-conver]
root         205       1  0 15:03 ?        00:00:00 /lib/systemd/systemd-journald
root         236       2  0 15:03 ?        00:00:00 [irq/18-vmwgfx]
root         237       2  0 15:03 ?        00:00:00 [ttm]
root         248       1  0 15:03 ?        00:00:00 /lib/systemd/systemd-udevd
root         280       2  0 15:03 ?        00:00:00 [kworker/3:2H-kblockd]
root         313       2  0 15:03 ?        00:00:00 [cryptd]
systemd+     346       1  0 15:03 ?        00:00:02 /lib/systemd/systemd-oomd
systemd+     347       1  0 15:03 ?        00:00:00 /lib/systemd/systemd-resolved
systemd+     353       1  0 15:03 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         528       1  0 15:03 ?        00:00:00 /usr/libexec/accounts-daemon
root         529       1  0 15:03 ?        00:00:00 /usr/sbin/acpid
avahi        531       1  0 15:03 ?        00:00:00 avahi-daemon: running [CY2550.local]
root         532       1  0 15:03 ?        00:00:00 /usr/sbin/cron -f -P
message+     533       1  0 15:03 ?        00:00:01 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         535       1  0 15:03 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root         543       1  0 15:03 ?        00:00:00 /usr/sbin/irqbalance --foreground
root         545       1  0 15:03 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         548       1  0 15:03 ?        00:00:02 /usr/libexec/polkitd --no-debug
root         549       1  0 15:03 ?        00:00:00 /usr/libexec/power-profiles-daemon
syslog       550       1  0 15:03 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         552       1  0 15:03 ?        00:00:05 /usr/lib/snapd/snapd
root         558       1  0 15:03 ?        00:00:00 /usr/libexec/switcheroo-control
root         566       1  0 15:03 ?        00:00:00 /lib/systemd/systemd-logind
root         567       1  0 15:03 ?        00:00:00 /usr/libexec/udisks2/udisksd
root         568       1  0 15:03 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        582     531  0 15:03 ?        00:00:00 avahi-daemon: chroot helper
root         612       2  0 15:03 ?        00:00:00 [kworker/3:4-pm]
root         614       1  0 15:03 ?        00:00:00 /usr/sbin/cupsd -l
root         627       1  0 15:03 ?        00:00:00 /usr/sbin/ModemManager
root         644       1  0 15:03 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         663       1  0 15:03 ?        00:00:00 /usr/sbin/gdm3
root         691       1  0 15:03 ?        00:00:00 /usr/sbin/cups-browsed
kernoops     707       1  0 15:03 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops     718       1  0 15:03 ?        00:00:00 /usr/sbin/kerneloops
rtkit        762       1  0 15:03 ?        00:00:00 /usr/libexec/rtkit-daemon
root         940       1  0 15:03 ?        00:00:00 /usr/libexec/upowerd
root         950       1  0 15:03 ?        00:00:00 /usr/libexec/packagekitd
colord      1130       1  0 15:03 ?        00:00:00 /usr/libexec/colord
root        1590     663  0 15:03 ?        00:00:00 gdm-session-worker [pam/gdm-password]
montymi     1603       1  0 15:03 ?        00:00:00 /lib/systemd/systemd --user
montymi     1604    1603  0 15:03 ?        00:00:00 (sd-pam)
montymi     1610    1603  0 15:03 ?        00:00:00 /usr/bin/pipewire
montymi     1611    1603  0 15:03 ?        00:00:00 /usr/bin/pipewire-media-session
montymi     1612    1603  0 15:03 ?        00:00:01 /usr/bin/pulseaudio --daemonize=no --log-target=journal
montymi     1622    1603  0 15:03 ?        00:00:01 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
montymi     1623       1  0 15:03 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
montymi     1630    1603  0 15:03 ?        00:00:00 /usr/libexec/gvfsd
montymi     1640    1603  0 15:03 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
montymi     1643    1590  0 15:03 tty2     00:00:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
montymi     1660    1603  0 15:03 ?        00:00:00 /usr/libexec/xdg-document-portal
montymi     1663    1643  0 15:03 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
montymi     1672    1603  0 15:03 ?        00:00:00 /usr/libexec/xdg-permission-store
root        1679    1660  0 15:03 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
montymi     1753    1603  0 15:03 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
montymi     1841    1603  0 15:03 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
montymi     1893    1841  0 15:03 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
montymi     1902    1893  0 15:03 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
montymi     1905    1603  4 15:03 ?        00:01:14 /usr/bin/gnome-shell
